time,DRB.UEThpDl,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,RRU.PrbUsedDl,Viavi.UE.anomalies,measTimeStampRf,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nrCellIdentity,rsrp_nb0,rsrp_nb1,rsrp_nb2,rsrp_nb3,rsrp_nb4,rsrq_nb0,rsrq_nb1,rsrq_nb2,rsrq_nb3,rsrq_nb4,rssinr_nb0,rssinr_nb1,rssinr_nb2,rssinr_nb3,rssinr_nb4,step,targetTput,ue-id,x,y
2024-05-29T10:58:09.102265Z,25.216333863945668,-58.245344822923784,-40.0,12335906863.704018,64.14850159117303,0,2024-05-29 10:58:09.072717,1,,,,2,-72.94006177114366,46.58744801163126,35.14265980659481,88.3104529573948,64.58012135135374,-40.0,-40.0,-40.0,-40.0,-40.0,418503781.9229655,86.64489405789826,11.50407553531142,12.227714197415702,16.64425844826653,0,43.697790843739014,UE0,440.63082141483767,27.79926479497089
2024-05-29T10:58:09.944881Z,25.066820705136976,-67.81764460492667,-40.0,1361260064.0270228,48.40527637705523,0,2024-05-29 10:58:09.072844,4,5,,,6,-70.03165391545899,-69.17557548304906,80.29334382759345,80.10488988525601,77.68379709913754,-40.0,-40.0,-40.0,-40.0,-40.0,817598662.8791282,995744728.1695441,88.17745539144754,44.72327862523894,97.72576464630399,0,68.39013937656401,UE1,482.98405386591963,637.2317008324327
2024-05-29T10:58:10.702110Z,25.50013022225353,-66.11237400289055,-40.0,2015896188.813671,62.589329316182244,0,2024-05-29 10:58:09.072926,4,,,,3,-67.65145855378616,18.780246262950083,25.478470806215356,36.51232888883313,44.93074609006967,-40.0,-40.0,-40.0,-40.0,-40.0,1414359163.9804614,67.12890101483939,4.8177893349777055,38.06210620421166,80.48769970100837,0,65.8324091929116,UE2,852.6811974139762,489.4072082504824
2024-05-29T10:58:11.442199Z,25.14386796450193,-65.89959420946023,-40.0,2117123257.7220492,95.7191785067661,0,2024-05-29 10:58:09.072995,6,,,,1,-65.87730310391187,60.41195447155602,23.415329229440243,13.32137501293797,19.24671172392183,-40.0,-40.0,-40.0,-40.0,-40.0,2128017787.0439856,57.35776013796144,43.36671856592201,4.135246852547825,24.34784704367127,0,12.05716037078487,UE3,184.94097582961143,498.1199899335025
2024-05-29T10:58:12.179679Z,25.442516883192067,-66.59572137037685,-40.0,1803571761.9110801,24.67921281320355,1,2024-05-29 10:58:09.073055,4,5,,,6,-70.75483995905687,-68.49062400256756,80.57795934619342,98.80598848569407,85.17450727968048,-40.0,-40.0,-40.0,-40.0,-40.0,692184019.0031836,1165851306.7547376,91.19951897851007,58.72807447436985,53.266707828646474,0,63.427118745173935,UE4,466.7199285237728,649.6636579398291
2024-05-29T10:58:12.922627Z,25.45105226607265,-66.32981745057779,-40.0,1917448989.1549006,44.582453952553095,1,2024-05-29 10:58:09.073139,1,2,4,,3,-73.38624273240161,-72.95253876059867,-72.86451154545904,50.024146123544696,61.522078456176935,-40.0,-40.0,-40.0,-40.0,-40.0,43.11974693673404,417303174.05917585,37.8860721276999,50.074506758570244,97.69594660114338,0,22.75048608378726,UE5,569.3359833616547,423.05199306461424
2024-05-29T10:58:13.664797Z,25.2048690600759,-58.627455727950775,-40.0,11296918387.490406,2.456213825761213,0,2024-05-29 10:58:09.073249,4,,,,3,-69.78892126682555,87.88866106357004,18.477805765123996,54.28236444943031,71.73550642128752,-40.0,-40.0,-40.0,-40.0,-40.0,864596428.8854896,70.94974108759757,52.19643088585963,25.079959283915024,91.66412068869553,0,7.290107456070361,UE6,751.4129318690449,430.0759117115103
2024-05-29T10:58:14.410297Z,25.12215825067848,-73.46747985347108,-40.0,370644515.98644507,14.700987744846305,0,2024-05-29 10:58:09.073329,,,,,6,57.040099125094336,64.29593272472336,7.550473836852229,3.6003239835581273,49.933879441594826,-40.0,-40.0,-40.0,-40.0,-40.0,42.296121699229474,10.461986084278964,27.283497457527723,43.10478709134169,82.08605220640716,0,72.84416010655573,UE7,41.04304597256611,981.2804123901332
2024-05-29T10:58:15.140736Z,25.263052996349273,-47.135610411780746,-40.0,159273866452.2799,21.981510149674016,1,2024-05-29 10:58:09.073394,2,4,,,3,-73.65005032105437,-73.71971874209154,58.16592185236362,19.315560323734218,65.11951374192522,-40.0,-40.0,-40.0,-40.0,-40.0,355386177.30532646,349730645.8254504,64.59632636462587,7.899263758495083,13.373906601788434,0,96.39629515962967,UE8,727.2044009866818,350.9239997588077
2024-05-29T10:58:15.886731Z,25.422516405577483,-58.45096286932562,-40.0,11765469901.183308,12.532668439900934,0,2024-05-29 10:58:09.073489,2,4,,,3,-73.23253572335473,-72.3919823968488,31.93209574279172,99.88464716038506,57.7974721057632,-40.0,-40.0,-40.0,-40.0,-40.0,391247874.98706067,474796298.33547926,5.24687729756214,25.487495826556106,57.16820476103599,0,14.423795296083249,UE9,660.4919185516975,392.22188897721105
